"NA."	"NA..1"	"NA..2"	"NA..3"	"NA..4"	"NA..5"	"Max.capacity..154230"	"Max.capacity..296250"	"NA..6"
"1"	"Test Number"	"Target Lat"	"Target Long"	"Trajectory Angle"	"Bearing Angle"	"Distance"	"Fuel Required (lbs)"	"Oxidizer Required (lbs)"	"Mission Success"
"82"	"81"	"38.43"	"27.15"	"65.809300258"	"305.703764103"	"8063.56658067"	"82909.5915825"	"159255.439968"	"0"
"83"	"82"	"25.02"	"121.45"	"85.1674076649"	"195.805077835"	"1610.8641117"	"16562.9047965"	"31814.5662061"	"0"
"84"	"83"	"34.68"	"135.5"	"87.0236410748"	"116.258050769"	"992.119641724"	"10200.9741562"	"19594.3629241"	"0"
"85"	"84"	"26.85"	"80.92"	"76.9503251704"	"265.664402464"	"4349.89160988"	"44725.5855327"	"85910.359295"	"0"
"86"	"85"	"50.43"	"30.52"	"68.6928615132"	"315.045097854"	"7102.37949561"	"73026.6659739"	"140271.995038"	"0"
"87"	"86"	"-8.82"	"13.24"	"52.3084207351"	"277.448529915"	"12563.859755"	"129181.606"	"248136.23016"	"0"
"88"	"87"	"37.48"	"126.64"	"89.4300816493"	"155.933468751"	"189.972783583"	"1953.3001608"	"3751.96247575"	"0"
"89"	"88"	"41.89"	"12.5"	"63.6748042308"	"315.82026941"	"8775.06525639"	"90225.2209662"	"173307.538814"	"0"
"90"	"89"	"14.72"	"-17.48"	"51.2318827342"	"319.822244407"	"12922.7057553"	"132871.260576"	"255223.438666"	"0"
"91"	"90"	"-19.92"	"-43.94"	"36.9880628062"	"332.147240281"	"17670.6457313"	"181689.579409"	"348995.253193"	"1"
"92"	"91"	"-3.78"	"-38.59"	"42.6379627587"	"334.09077332"	"15787.3457471"	"162325.488972"	"311800.078505"	"1"
"93"	"92"	"36.27"	"59.57"	"72.8914083031"	"289.033214011"	"5702.86389897"	"58636.8466092"	"112631.562005"	"0"
"94"	"93"	"10.73"	"-71.66"	"47.4186159923"	"21.8103752975"	"14193.7946692"	"145940.596789"	"280327.444717"	"0"
"95"	"94"	"34.53"	"69.17"	"75.0494184909"	"282.663533867"	"4983.52716969"	"51240.6263587"	"98424.6616013"	"0"
"96"	"95"	"18.48"	"-69.91"	"49.7578987461"	"17.3232397856"	"13414.0337513"	"137923.095031"	"264927.166588"	"0"
"97"	"96"	"35.87"	"128.6"	"88.7019952879"	"143.756520034"	"432.668237354"	"4448.69481648"	"8545.19768775"	"0"
"98"	"97"	"-15.78"	"-47.91"	"37.9324991931"	"344.832778145"	"17355.8336023"	"178452.681099"	"342777.713646"	"1"
"99"	"98"	"15.65"	"32.48"	"62.4133305595"	"284.255071421"	"9195.55648015"	"94548.7117289"	"181612.240483"	"0"
"100"	"99"	"21.16"	"79.08"	"75.4588445617"	"259.753533961"	"4847.05181278"	"49837.386739"	"95729.2733024"	"0"
